12.8757	2.26868	2.53788	-0.218154	-0.556429	1.88658	
12.8757	2.26868	2.53788	-0.218154	-0.556429	1.88658	
13.0337	1.45787	1.97429	0.862187	0.367527	0.865559	
12.5842	2.30359	1.68674	0.184452	-0.589562	-0.874568	
11.7006	2.31204	2.15491	-0.139641	-0.694972	-1.48541	
11.3061	1.52038	2.62148	0.371675	-0.959744	-1.50311	
10.5201	1.88812	2.1245	0.335207	-0.671019	-1.23146	
11.0893	2.43892	2.73498	0.121213	-0.566398	-1.12646	
10.8656	3.39581	2.92025	0.896146	-0.638305	0.168355	
11.6764	3.72258	2.43464	0.913268	-0.232819	0.470328	
11.1402	2.89814	2.25361	0.00899219	0.482304	-0.0987421	
10.5789	2.22417	2.734	0.133742	0.756833	0.431371	
10.6364	2.73575	1.87669	-1.45461	0.199108	-0.00431531	
10.42	2.27347	1.01675	0.100769	0.681672	-0.651418	
11.207	1.83312	0.584563	0.363301	0.606987	-0.0963934	
11.7421	1.25926	1.20452	-0.335454	0.118963	0.0537702	
12.6631	1.55044	0.945885	-0.179612	-0.517555	-0.106029	
12.9789	1.26786	0.0400984	-0.60538	-2.29314	0.303383	
13.1062	1.77321	0.893567	-0.308617	0.975874	-1.69385	
13.5268	1.25231	0.150759	-1.71319	-0.96225	-1.12182	
13.0834	0.788113	0.917507	0.140869	0.726938	0.959192	
12.3429	0.147383	0.714486	0.320888	0.446519	1.18845	
12.1004	1.08214	0.454875	-0.878616	0.0935315	1.04425	
11.6726	0.185977	0.336874	0.683064	-0.509058	-0.00721152	
12.5974	-0.176204	0.453675	0.92043	0.153385	0.163109	
11.8392	-0.826107	0.506606	-0.139457	1.3533	-0.338831	
12.5873	-0.614987	1.13576	-0.369799	-0.456776	0.535916	
12.1942	-0.29261	1.99692	-0.243094	0.245707	0.33012	
11.3165	-0.551213	1.59348	-0.0795852	-0.139836	0.222022	
11.0781	-1.45817	1.24626	1.05354	-0.708179	0.934457	
10.5142	-2.25293	1.02163	-0.00172924	0.695863	-1.3475	
11.2184	-2.87998	0.688451	0.94666	0.532502	0.983337	
11.069	-3.1297	1.64517	0.43428	-1.0656	0.48299	
10.9335	-3.41301	2.59459	-1.01377	0.418699	0.7147	
10.1357	-4.0065	2.48844	-1.28765	1.00086	-0.464878	
9.60909	-3.44574	3.12739	-0.159057	0.321205	1.05539	
